qc_pass,file,duration_seconds,peak_dbfs,rms_dbfs,silent_fraction,active_fraction,clipping_fraction,dc_offset,stereo_imbalance_db,spectral_available,low_energy_fraction_20_160hz,mid_energy_fraction_160_4000hz,high_energy_fraction_4k_16khz,spectral_centroid_hz,spectral_flatness,qc_reasons
True,/Users/nick/ActiveProjects/Mobius/assets/audio/candidates/trippy_house_stableaudio_supertonic_v2_voice_forward/mobius_acid_topology__seed_51001__instrumental.wav,20.0,-1.77,-17.3,0.0325,0.9675,0.0,7.9e-05,0.36,False,,,,,,
True,/Users/nick/ActiveProjects/Mobius/assets/audio/candidates/trippy_house_stableaudio_supertonic_v2_voice_forward/mobius_acid_topology__seed_51001__voice_forward_clear.wav,20.0,-0.47,-27.32,0.035,0.965,0.0,-1.8e-05,0.2,False,,,,,,
True,/Users/nick/ActiveProjects/Mobius/assets/audio/candidates/trippy_house_stableaudio_supertonic_v2_voice_forward/mobius_acid_topology__seed_51001__voice_forward_loud.wav,20.0,-0.45,-28.27,0.0425,0.9575,0.0,-1.7e-05,0.11,False,,,,,,
True,/Users/nick/ActiveProjects/Mobius/assets/audio/candidates/trippy_house_stableaudio_supertonic_v2_voice_forward/neon_levitation_garage__seed_51001__instrumental.wav,20.0,-1.72,-15.8,0.0475,0.9525,0.0,-6e-05,0.16,False,,,,,,
True,/Users/nick/ActiveProjects/Mobius/assets/audio/candidates/trippy_house_stableaudio_supertonic_v2_voice_forward/neon_levitation_garage__seed_51001__voice_forward_clear.wav,20.0,-0.46,-31.2,0.14,0.86,0.0,-4.8e-05,0.04,False,,,,,,
True,/Users/nick/ActiveProjects/Mobius/assets/audio/candidates/trippy_house_stableaudio_supertonic_v2_voice_forward/neon_levitation_garage__seed_51001__voice_forward_loud.wav,20.0,-0.46,-32.31,0.1875,0.8125,0.0,-4.1e-05,0.06,False,,,,,,
