qc_pass,file,duration_seconds,peak_dbfs,rms_dbfs,silent_fraction,active_fraction,clipping_fraction,dc_offset,stereo_imbalance_db,spectral_available,low_energy_fraction_20_160hz,mid_energy_fraction_160_4000hz,high_energy_fraction_4k_16khz,spectral_centroid_hz,spectral_flatness,qc_reasons
True,/Users/nick/ActiveProjects/Mobius/assets/audio/candidates/trippy_house_stableaudio_supertonic_v1/mobius_acid_topology__seed_51001__instrumental.wav,20.0,-1.77,-17.3,0.0325,0.9675,0.0,7.9e-05,0.36,False,,,,,,
True,/Users/nick/ActiveProjects/Mobius/assets/audio/candidates/trippy_house_stableaudio_supertonic_v1/mobius_acid_topology__seed_51001__with_voice_tag.wav,20.0,-1.83,-17.33,0.0325,0.9675,0.0,7.3e-05,0.36,False,,,,,,
False,/Users/nick/ActiveProjects/Mobius/assets/audio/candidates/trippy_house_stableaudio_supertonic_v1/mobius_acid_topology__voice_F1.wav,3.831,-3.1,-25.29,0.3896,0.6104,0.0,-6.1e-05,0.0,False,,,,,,too_short<10.0s
True,/Users/nick/ActiveProjects/Mobius/assets/audio/candidates/trippy_house_stableaudio_supertonic_v1/neon_levitation_garage__seed_51001__instrumental.wav,20.0,-1.72,-15.8,0.0475,0.9525,0.0,-6e-05,0.16,False,,,,,,
True,/Users/nick/ActiveProjects/Mobius/assets/audio/candidates/trippy_house_stableaudio_supertonic_v1/neon_levitation_garage__seed_51001__with_voice_tag.wav,20.0,-1.72,-15.81,0.0475,0.9525,0.0,-6.7e-05,0.16,False,,,,,,
False,/Users/nick/ActiveProjects/Mobius/assets/audio/candidates/trippy_house_stableaudio_supertonic_v1/neon_levitation_garage__voice_M2.wav,3.274,-3.1,-29.02,0.5303,0.4697,0.0,-8.2e-05,0.0,False,,,,,,too_short<10.0s
